GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp,hbo_prod,hbw_prod,nhb_prod,hbo_attr,hbw_attr,nhb_attr,hbo_attr_bal,hbw_attr_bal,nhb_attr_bal
49035101200,2124,70,1.94,885,825,238,176,616,592,180,261,475,55,142,88,96,128,107,65,51,54,204,218,180,132,129,119,356,737,106,25,606,8678.977976718514,1787.8975528376413,4932.868805283733,3892,884.4,2293.2999999999997,3109.316491903122,437.4246372037383,1861.4860777717358
49035110900,1508,28,2.94,213,581,252,462,152,360,166,190,640,38,10,25,0,61,18,25,28,33,88,186,166,85,105,195,445,773,136,74,563,8547.401810451318,1831.630192880602,5147.482521700847,3742.9,927.5999999999999,2108.7999999999997,2990.200590324819,458.7913766058205,1711.7262638141701
49035113903,1418,37,3.52,195,392,244,587,246,498,276,341,57,41,0,74,34,64,33,40,93,77,96,192,276,156,185,48,9,449,64,10,375,8472.506526512278,1708.8138724605392,3953.1580758262867,2433.8999999999996,538.8,1454.8,1944.4412666092003,266.49072198708075,1180.8703379158076
49035103700,1051,14,2.5,283,291,228,249,128,188,161,156,418,19,29,10,9,39,22,17,47,8,42,74,161,88,68,145,273,428,33,74,321,5397.469475763599,1114.4536548009914,3348.703408813426,2503.9,513.6,1444.3000000000002,2000.3642250966668,254.02679066919947,1172.3474216743202
49035113537,1002,25,3.6,175,288,133,406,167,377,173,188,97,20,18,23,14,61,31,24,63,32,50,208,173,113,75,69,28,142,29,8,105,5783.392104799252,1189.3007702503053,2856.2570407585076,1156.4,170.4,800.3,923.8472742129421,84.27991653043533,649.6085588630883
49035113409,1358,19,3.71,188,269,237,664,226,480,294,194,164,49,29,26,48,7,67,19,49,35,117,260,294,159,35,117,47,907,156,359,392,8386.799371072853,1657.3910107298664,4248.613016321489,5447.4,1088.3999999999999,3128.8999999999996,4351.9246294946215,538.323128824682,2539.7478693323965
49035104100,1125,68,2.65,287,395,135,308,206,196,91,186,446,34,27,40,6,99,0,22,37,19,102,16,91,142,44,123,323,267,55,9,203,5780.291707146793,1228.0506395117568,3351.4019106686965,1612.1,320.4,1029,1287.905733966347,158.4699838987763,835.2457916657726
49035112604,1593,48,3.23,251,508,278,556,292,516,238,395,152,56,8,25,53,107,43,34,27,75,100,280,238,287,108,102,50,2807,126,225,2456,9142.718953558957,1877.6628218639216,4357.067464790023,11689.3,3368.4,5514.7,9338.574837821983,1666.0121528234647,4476.316780660094
49045130800,1732,57,3.22,291,434,403,604,534,449,150,394,205,104,49,96,11,175,99,16,20,116,45,252,150,227,167,109,96,1409,322,114,973,10027.736276628384,1956.555565375872,4568.964475267548,5800.9,1690.8,3098.2,4634.3355698563255,836.2704393759393,2514.828485654905
49045130900,1766,180,2.84,534,422,230,580,688,647,276,120,35,114,16,143,197,126,92,25,61,170,229,162,276,83,37,28,7,1505,35,641,829,9084.134009393165,1663.7077044462537,4237.085626790729,9546.6,1806,5250.4,7626.773078520644,893.2484111148253,4261.782803267223
49035113905,1914,33,3.91,160,531,254,969,300,795,392,349,78,44,30,91,15,26,94,94,163,89,144,305,392,218,131,61,17,1153,233,333,587,12136.03590941376,2461.4938799220936,5752.318342515717,6354.6,1383.6,3651.8,5076.686171492184,684.329181405577,2964.189098158473
49035110104,1937,23,2.84,322,722,288,605,209,236,222,392,878,90,25,23,20,0,51,18,42,32,60,84,222,210,182,172,706,1512,142,208,1162,10798.569297284443,2308.8658871198236,6351.182543536349,7269.5,1814.3999999999999,3837.6000000000004,5807.599238923367,897.4030548874523,3115.0041303173657
49035113701,1108,28,3.52,144,389,160,415,195,440,214,161,98,14,8,36,47,21,69,115,0,63,148,114,214,148,13,47,51,292,15,134,143,6486.041112189939,1314.1571404986523,3253.785958423806,2412.2,350.4,1502.3,1927.1051494780859,173.30799737244448,1219.4263875796796
49035112700,1872,116,2.96,511,444,317,600,505,654,269,290,154,127,26,117,57,71,107,48,87,76,200,243,269,130,160,95,59,2541,504,200,1837,9878.071132531732,1940.1027690090698,4827.318315470682,9772.7,3049.2,4887,7807.40423443516,1508.135689463635,3966.808730680885
49035111400,2873,232,2.45,1003,983,267,620,667,1450,350,267,139,246,129,97,78,86,31,301,106,244,274,525,350,170,97,61,78,1560,126,389,1045,13315.991086806389,2801.3150937586515,6954.486151654335,9024.4,1872,5078.1,7209.587808204145,925.8920407568953,4121.925806275958
49035113907,2158,28,3.7,346,288,311,1213,234,734,477,562,151,30,24,59,14,64,43,59,137,72,308,158,477,420,142,101,50,1057,783,22,252,13497.560767660205,2756.473113147391,6418.279364196378,3125.5,1268.3999999999999,2142.5,2496.960096465367,627.3512096666911,1739.0807664178017
49035101400,677,122,2.48,184,326,54,113,412,152,82,2,29,149,26,16,101,77,43,44,6,50,35,17,82,2,0,12,17,25974,2010,15,23949,3208.125148022192,524.0515646054874,1375.368409115257,85828.4,31168.8,35010.299999999996,68568.25786065208,15416.102478602304,28418.081379937998
