GEOID,total_hhsE,no_vehE,avg_hh_sizeE,hh_1personE,hh_2personE,hh_3personE,hh_4person_plusE,inc_quint_1,inc_quint_2,inc_quint_3,inc_quint_4,inc_quint_5,inc_lt_10kE,inc_btw_10k_15kE,inc_btw_15k_20kE,inc_btw_20k_25kE,inc_btw_25k_30kE,inc_btw_30k_35kE,inc_btw_35k_40kE,inc_btw_40k_45kE,inc_btw_45k_50kE,inc_btw_50k_60kE,inc_btw_60k_75kE,inc_btw_75k_100kE,inc_btw_100k_125kE,inc_btw_125k_150kE,inc_btw_150k_200kE,inc_gt_200kE,total_emp,basic_emp,retail_emp,service_emp
49035104800,1944,34,2.7,537,664,251,492,383,431,421,493,216,106,62,45,82,14,74,65,32,113,72,149,421,257,236,111,105,727,106,135,486
49035112611,2364,42,3.09,337,820,414,793,255,760,315,614,420,31,0,41,67,54,62,57,55,57,244,347,315,354,260,338,82,2006,185,116,1705
49035111600,3067,377,2.09,1227,1042,593,205,1263,932,419,343,110,274,164,92,55,367,311,233,157,76,330,136,419,181,162,39,71,17989,8925,1722,7342
49035113511,1210,28,3.06,180,498,126,406,221,401,197,266,125,49,28,37,75,10,22,11,70,62,124,134,197,178,88,100,25,543,54,114,375
49035113802,1155,41,3.7,174,287,201,493,322,542,194,83,14,30,47,82,51,66,46,91,49,105,166,131,194,55,28,14,0,651,294,28,329
49035980000,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25018,12934,542,11542
49035112820,2721,55,3.2,330,908,578,905,328,548,330,671,844,135,56,29,38,70,0,21,20,136,84,287,330,309,362,298,546,2270,94,18,2158
49035110702,1693,36,2.93,315,583,285,510,287,523,178,255,450,33,32,35,51,83,53,23,59,68,186,187,178,120,135,213,237,1460,579,63,818
49035113505,1950,79,3.36,314,560,425,651,450,765,303,350,82,70,46,44,112,80,98,110,60,111,259,225,303,193,157,58,24,761,35,252,474
49035113107,8101,64,3.85,900,1716,1250,4235,628,2292,1503,2397,1281,161,0,79,183,115,90,302,366,229,345,1050,1503,1174,1223,958,323,4308,837,616,2855
49045130702,4831,91,3.61,400,1018,1060,2353,258,1053,1427,1513,580,40,43,61,0,20,94,95,105,100,312,441,1427,865,648,461,119,3259,1226,213,1820
49035113803,2200,0,4.14,202,485,275,1238,292,712,418,538,240,0,37,98,142,0,15,79,98,28,152,355,418,418,120,240,0,1488,135,257,1096
49035111802,1230,149,2.08,529,402,152,147,448,365,226,139,52,101,88,122,57,23,57,26,19,64,145,111,226,41,98,30,22,2366,150,745,1471
49035110600,1867,34,3,283,744,225,615,243,396,205,433,590,10,52,23,8,83,67,20,55,50,82,189,205,244,189,214,376,661,66,15,580
49035112816,1681,69,3.47,243,420,209,809,84,445,144,331,677,0,32,44,0,8,0,28,43,73,99,202,144,220,111,246,431,5057,1440,494,3123
49035112617,1058,16,3.3,100,342,192,424,106,147,128,260,417,48,0,8,0,35,15,22,17,7,35,66,128,82,178,271,146,949,68,32,849
49035112605,3068,189,2.44,805,1176,555,532,497,1052,606,634,279,161,15,65,51,125,80,189,56,130,377,300,606,312,322,210,69,17568,4910,1182,11476
49035113012,1646,48,3.55,213,554,221,658,204,154,184,456,648,34,34,22,18,36,60,22,21,41,44,26,184,264,192,319,329,9162,1796,455,6911
49035100700,1647,165,1.88,814,534,145,154,503,488,163,279,214,102,56,78,87,98,82,56,55,88,89,200,163,197,82,144,70,1488,60,42,1386
49035100100,774,131,2.33,221,365,87,101,272,233,132,76,61,93,14,33,24,59,49,4,17,45,71,96,132,52,24,46,15,6135,1708,314,4113
49035112904,1968,92,3.48,328,482,338,820,347,719,290,500,112,63,42,32,34,75,101,20,72,154,178,295,290,414,86,100,12,443,59,56,328
49035102701,1735,68,3.25,349,444,328,614,566,814,177,160,18,23,26,94,94,209,120,151,228,77,201,157,177,106,54,9,9,137,21,8,108
49035112921,1209,14,3.41,214,333,247,415,158,428,237,239,147,15,4,36,17,27,59,73,25,25,126,179,237,161,78,44,103,2171,487,761,923
49035112613,1564,30,3.28,203,548,210,603,137,335,296,367,429,44,9,13,9,31,31,40,24,41,94,136,296,191,176,280,149,1971,334,425,1212
49035114100,1326,48,2.26,534,454,95,243,236,391,179,243,277,65,29,35,16,44,47,106,67,28,90,100,179,150,93,84,193,5093,641,1085,3367
49035112001,1513,67,2.23,539,517,273,184,420,614,199,159,121,109,61,86,29,110,25,86,126,62,198,142,199,75,84,72,49,1766,163,382,1221
49035112002,2033,216,2.34,631,835,325,242,545,700,366,263,159,103,87,87,68,78,122,169,58,69,191,213,366,173,90,106,53,3059,282,327,2450
49035110500,2157,15,2.77,483,685,373,616,322,513,347,500,475,38,84,65,45,53,37,53,36,49,149,226,347,236,264,220,255,1034,116,76,842
49035112810,3156,39,3.94,132,849,644,1531,174,561,556,803,1062,28,30,71,14,16,15,102,71,10,60,318,556,482,321,590,472,3768,2075,147,1546
49035114600,2052,22,3.32,249,669,340,794,124,425,352,566,585,0,0,0,40,55,29,57,26,126,71,145,352,288,278,269,316,1414,573,157,684
49035112616,1434,97,3.13,226,490,155,563,124,329,194,299,488,11,0,13,0,73,27,57,35,18,85,134,194,164,135,206,282,798,55,44,699
49035111304,1277,8,2.73,279,517,129,352,119,332,139,267,420,0,0,31,55,27,6,32,11,55,152,82,139,145,122,180,240,683,161,199,323
49035110701,1438,29,2.92,319,362,417,340,317,427,209,277,208,53,17,19,50,91,87,33,30,90,177,97,209,198,79,89,119,697,70,20,607
49035112917,1248,32,3.25,146,439,224,439,184,445,130,340,149,19,42,52,0,41,30,66,68,37,121,153,130,219,121,95,54,1549,102,157,1290
49035101700,1991,261,1.84,931,771,189,100,662,764,306,149,110,131,71,79,154,148,79,118,71,99,233,243,306,101,48,46,64,1257,67,91,1099
49035112814,1435,94,3.1,117,572,231,515,222,182,142,242,647,61,28,9,55,10,59,0,18,9,57,98,142,152,90,224,423,477,110,11,356
49035113102,1040,0,3.71,35,297,289,419,98,233,266,218,225,0,0,13,13,19,53,0,0,6,75,152,266,161,57,111,114,2306,236,242,1828
49035104400,671,25,2.73,140,283,69,179,64,122,59,122,304,19,0,7,0,38,0,26,25,6,23,42,59,45,77,72,232,332,24,45,263
49035102100,1213,283,1.46,839,298,46,30,486,394,100,142,91,162,97,10,132,35,50,55,114,76,63,86,100,104,38,60,31,4535,349,65,4121
49035112502,2534,57,2.35,1015,700,383,436,463,1161,410,373,127,124,132,31,49,16,111,144,271,139,140,467,410,207,166,72,55,8621,991,1714,5916
49035103000,1197,69,2.77,275,404,258,260,290,286,218,292,111,77,24,16,81,47,45,53,65,0,97,71,218,136,156,36,75,1008,15,345,648
49035111202,1709,117,2.61,565,560,197,387,313,533,285,322,256,84,36,31,49,33,80,92,84,37,214,106,285,203,119,163,93,3198,226,923,2049
49035110103,1421,21,2.63,246,567,292,316,148,272,192,255,554,71,0,19,28,9,21,48,41,19,49,115,192,110,145,213,341,303,16,28,259
49035102802,1336,114,4.05,170,240,223,703,325,434,264,233,80,96,57,24,81,18,49,150,69,33,30,152,264,171,62,72,8,6766,2561,942,3263
49035112813,1621,19,3.23,156,625,272,568,168,295,172,450,536,20,10,21,50,48,19,16,28,28,113,110,172,221,229,167,369,583,144,35,404
49035112804,1752,38,3.27,138,662,361,591,192,309,256,690,305,36,9,27,47,40,33,15,40,41,74,139,256,346,344,209,96,1006,142,71,793
49035112905,1683,19,3.39,208,572,318,585,277,352,164,443,447,36,48,62,0,57,74,59,64,15,103,111,164,259,184,294,153,205,82,4,119
49035102801,1820,63,3.73,284,548,209,779,451,791,296,149,133,77,100,123,24,40,87,164,69,108,234,216,296,119,30,62,71,2078,1495,73,510
